Ref_Date,GEO,PRO,PIP,STA,Vector,Coordinate,Value
2016/03,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2066590.0
2016/04,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2133671.0
2016/05,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2171893.0
2016/06,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2307328.0
2016/07,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2234024.0
2016/08,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,1998086.0
2016/09,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2045244.0
2016/10,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2153318.0
2016/11,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,1933855.0
2016/12,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2316388.0
2017/01,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2531480.0
2017/02,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2211797.0
2017/03,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2260789.0
2017/04,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2378195.0
2017/05,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2649263.0
2017/06,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2352664.0
2017/07,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,2308249.0
2017/08,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,1812995.0
2017/09,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,1457938.0
2017/10,Canada,Crude oil and equivalent products,Imports,Cubic metres,v107705252,1.1.1.1,1690103.0
